SKU,Name,Location,TCP,Floor_Area,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source,City/Town,Province
CD65D7FFD34F8B9PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",5807744,46.24,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/1br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865782231/,Bacoor,CAVITE
CD657002BB7EF84PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",4033352,31.55,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-studio-condo-unit-in-bacoor-cavite-at-gar-170859542788/,Bacoor,CAVITE
CD657002B908040PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",9951952,71.57,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170859542368/,Bacoor,CAVITE
CD657002B8EB1C3PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",4033352,31.55,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-garden-170859542871/,Bacoor,CAVITE
CD657002B683CDBPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",5545600,40,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-executive-studio-condo-unit-in-bacoor-cav-170859542391/,Bacoor,CAVITE
CD64C248C73EED7PH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City Navarro, General Trias",3541400,32.68,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-w-balcony-low-rise-condo-unit-for-sale-in-gene-170417445052/,General Trias,CAVITE
CD65F2D2FB8D26BPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",6070000,30.77,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-4f-condo-unit-for-sale-in-bucandala-iv-i-17104643380/,Imus,CAVITE
CD65F2D2FC015F3PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",4528000,23.76,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-4f-condo-unit-for-sale-in-bucandala-iv-171046433590/,Imus,CAVITE
CD65F2D2FC46CBCPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",6146000,30.77,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-6f-condo-unit-for-sale-in-bucandala-iv-i-171046433576/,Imus,CAVITE
CD65F2D2FCAA7F9PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",4555000,23.76,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-6f-condo-unit-for-sale-in-bucandala-iv-171046433781/,Imus,CAVITE
